Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,query:musics,3057,0,71,74.86203164995536,12.833458953537047,353.3745410386473,178475.0,50.93368333730312,0.0,71,83,92,98,120,140,170,200,300,350,350
POST,query:playlists,1951,0,65,69.42400973414199,7.199999992735684,328.57791701098904,117815.0,32.50625325190657,0.0,65,77,86,92,110,140,170,200,270,330,330
POST,query:users,963,0,80,86.88260114092674,5.342624965123832,395.6642500124872,63945.0,16.044860011064085,0.0,80,96,110,110,140,160,200,260,400,400,400
,Aggregated,5971,0,70,75.02385172398877,5.342624965123832,395.6642500124872,140183.24819963155,99.48479660027378,0.0,70,83,93,99,120,140,180,200,320,400,400
