Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,query:musics,4343,0,8,9.804275788750324,5.165375012438744,139.55620804335922,168475.0,73.51675455104983,0.0,8,10,11,12,15,19,25,40,120,140,140
POST,query:playlists,2785,0,5,7.44290784385082,2.812958031427115,135.2039580233395,113015.0,47.14348639757628,0.0,5,7,8,9,13,17,26,58,120,140,140
POST,query:users,1443,0,4,6.515032850870345,1.9319590064696968,126.5345829888247,60745.0,24.42658918193988,0.0,4,6,8,9,13,16,22,41,130,130,130
,Aggregated,8571,0,6,8.48321788583282,1.9319590064696968,139.55620804335922,132316.96826507992,145.086830130566,0.0,6,8,10,11,14,18,25,45,120,140,140
