Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetMusics,4350,0,3,3.48064210105302,1.6112920129671693,74.87991702510044,247715.0,73.68526175416036,0.0,3,3,4,4,5,6,7,9,43,75,75
POST,GetPlaylists,2955,0,2,2.645558650391066,1.074666972272098,65.80995803233236,151358.0,50.05516057092963,0.0,2,2,3,3,4,5,6,8,48,66,66
POST,GetUsers,1478,0,2,2.16249774824683,0.8791250293143094,49.26933301612735,83984.0,25.036049855781386,0.0,2,2,2,3,3,4,5,6,49,49,49
,Aggregated,8783,0,3,2.9778652651024764,0.8791250293143094,74.87991702510044,187743.53774336787,148.7764721808714,0.0,3,3,3,4,4,5,7,8,47,75,75
