Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetMusics,1929,0,370,251.70008835279924,2.1779160015285015,574.6374999871477,247702.67236910315,32.63330909353504,0.0,370,410,430,440,460,480,500,520,560,570,570
POST,GetPlaylists,1272,0,170,122.82505314169326,1.5770000172778964,302.35254199942574,151344.83805031446,21.518698375830258,0.0,170,210,220,230,240,250,260,270,300,300,300
POST,GetUsers,652,0,110,86.21982400806584,1.343499985523522,209.30724998470396,83971.40337423312,11.030024639183434,0.0,110,140,150,150,160,170,180,180,210,210,210
,Aggregated,3853,0,150,181.15189807475798,1.343499985523522,574.6374999871477,188185.4253828186,65.18203210854874,0.0,150,230,370,400,440,460,480,500,550,570,570
