Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musics,1186,0,530,510.4989347591997,16.34487503906712,678.9564170176163,168454.0,20.080847308899703,0.0,530,540,550,560,580,590,610,630,660,680,680
GET,GET /playlists,783,0,270,263.1390268600244,15.033999981824309,416.3395829964429,112990.85312899106,13.257422801744072,0.0,270,280,280,290,300,310,330,340,420,420,420
GET,GET /users,391,0,180,175.93651587653267,53.5917499801144,280.4572909954004,60725.0,6.620245613642314,0.0,180,180,190,190,200,210,230,260,280,280,280
,Aggregated,2360,0,310,373.000327272684,15.033999981824309,678.9564170176163,132204.1343220339,39.95851572428609,0.0,310,510,530,540,560,580,600,610,660,680,680
