Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musics,4417,0,3,3.586503574307329,1.4848339487798512,78.92320799874142,168454.0,74.75893841637148,0.0,3,4,4,4,5,6,8,11,38,79,79
GET,GET /playlists,3029,0,2,2.7584244422405497,0.9903750033117831,78.00520904129371,112991.0,51.26665711188345,0.0,2,3,3,3,4,5,7,10,23,78,78
GET,GET /users,1449,0,2,2.3552109533953023,0.8186670020222664,63.69845796143636,60725.0,24.524723062106013,0.0,2,2,3,3,4,5,7,11,25,64,64
,Aggregated,8895,0,3,3.103940932516233,0.8186670020222664,78.92320799874142,132018.16548622822,150.55031859036094,0.0,3,3,4,4,5,6,8,11,32,79,79
